,route,route-collected,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 657,Ordinary 3+2 Non AC Seater,24-Jul,11:00,22:00,11h 00m,INR 507,33 Seats available,2.7
1,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 515,Ordinary 3+2 Non AC Seater,24-Jul,12:30,22:50,10h 20m,INR 507,37 Seats available,4.2
2,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 525,Ordinary 3+2 Non AC Seater,24-Jul,16:50,03:00,10h 10m,INR 512,27 Seats available,4.2
3,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 532,Ordinary 3+2 Non AC Seater,24-Jul,17:59,04:15,10h 16m,INR 512,27 Seats available,2.0
4,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 538,Ordinary 3+2 Non AC Seater,24-Jul,18:31,05:30,10h 59m,INR 507,36 Seats available,4.0
5,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,24-Jul,19:35,04:45,09h 10m,INR 892,33 Seats available,3.5
6,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 301,Ordinary 3+2 Non AC Seater,24-Jul,19:43,05:30,09h 47m,INR 507,27 Seats available,4.2
7,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 556,Ordinary 3+2 Non AC Seater,24-Jul,20:10,05:45,09h 35m,INR 507,26 Seats available,4.5
8,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 591,A/C Executive (2+3),24-Jul,21:00,08:15,11h 15m,INR 622,42 Seats available,3.8
9,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=23-Jul-2024,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,24-Jul,21:02,06:30,09h 28m,INR 892,34 Seats available,4.4
