,route,route-collected,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,Assam State Transport Corporation (ASTC) - 157959,Bharat Benz A/C Seater (2+2),24-Jul,14:00,18:30,04h 30m,INR 298,5 Seats available,4.5
1,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),24-Jul,15:45,20:30,04h 45m,INR 298,27 Seats available,3.5
2,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,24-Jul,16:15,20:30,04h 15m,INR 298,21 Seats available,4.8
3,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,24-Jul,13:00,17:00,04h 00m,INR 389.13,14 Seats available,4.7
4,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,24-Jul,14:30,18:30,04h 00m,INR 432.06,22 Seats available,4.8
5,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,24-Jul,15:30,19:15,03h 45m,INR 389.13,27 Seats available,4.6
6,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),24-Jul,21:30,03:30,06h 00m,INR 400,25 Seats available,3.2
7,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,PANKAJ TRAVELS,A/C Seater (2+1),24-Jul,13:00,17:00,04h 00m,475,5 Seats available,No rating
8,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,BARBIE TRAVELS,A/C Seater Push Back (2+2),24-Jul,13:10,17:50,04h 40m,INR 350,33 Seats available,No rating
9,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=23-Jul-2024,Karisma (Aziba),NON A/C Seater (2+1),24-Jul,13:40,14:10,00h 30m,INR 300,5 Seats available,2.6
