,route,route-collected,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=23-Jul-2024,Om Sai Ram (C.T),NON A/C Seater (2+2),24-Jul,14:50,21:50,07h 00m,INR 450,28 Seats available,3.3
1,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=23-Jul-2024,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),24-Jul,20:28,02:00,05h 32m,450,5 Seats available,3.2
2,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=23-Jul-2024,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),24-Jul,22:20,05:00,06h 40m,523,53 Seats available,3.7
3,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=23-Jul-2024,V.I.P Travels,A/C Seater / Sleeper (2+2),24-Jul,21:40,03:40,06h 00m,INR 445,61 Seats available,2.7
4,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=23-Jul-2024,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),24-Jul,22:40,04:00,05h 20m,405,26 Seats available,2.6
5,Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi?fromCityId=81384&toCityId=733&fromCityName=Gopalganj%20(Bihar)&toCityName=Delhi&busType=Any&onward=23-Jul-2024,ROYAL TRAVELS AND CARGO,A/C Seater / Sleeper (2+2),24-Jul,17:30,08:30,15h 00m,INR 1796,18 Seats available,2.3
6,Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi?fromCityId=81384&toCityId=733&fromCityName=Gopalganj%20(Bihar)&toCityName=Delhi&busType=Any&onward=23-Jul-2024,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),24-Jul,20:00,14:30,18h 30m,INR 1899,46 Seats available,1.2
7,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&onward=23-Jul-2024,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),24-Jul,21:20,01:00,03h 40m,INR 230,32 Seats available,3.6
8,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&onward=23-Jul-2024,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),24-Jul,15:30,19:30,04h 00m,INR 220,35 Seats available,1.5
9,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&onward=23-Jul-2024,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),24-Jul,22:00,04:00,06h 00m,523,54 Seats available,4.5
10,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&onward=23-Jul-2024,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),24-Jul,22:20,03:15,04h 55m,523,54 Seats available,3.6
11,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&onward=23-Jul-2024,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),24-Jul,20:28,23:30,03h 02m,450,5 Seats available,1.1
12,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari?fromCityId=733&toCityId=80302&fromCityName=Delhi&toCityName=Motihari&busType=Any&onward=23-Jul-2024,Bihar state road transport corporation (BSRTC) - 117806,Volvo AC Seater 2+2,24-Jul,17:00,10:00,17h 00m,1148,42 Seats available,3.7
