,route-collected,route,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),24-Jul,15:30,21:05,05h 35m,INR 404.76,47 Seats available,3.7
1,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),24-Jul,16:30,22:05,05h 35m,INR 404.76,47 Seats available,3.4
2,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),24-Jul,17:00,22:35,05h 35m,INR 404.76,47 Seats available,3.5
3,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165726,HVAC Seater (2+3),24-Jul,17:30,23:05,05h 35m,INR 404.76,46 Seats available,4.4
4,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),24-Jul,13:40,19:30,05h 50m,416,10 Seats available,4.4
5,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,NueGo,Electric A/C Seater (2+2),24-Jul,13:55,18:30,04h 35m,348,14 Seats available,3.2
6,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,NueGo,Electric A/C Seater (2+2),24-Jul,14:30,20:00,05h 30m,361,32 Seats available,3.3
7,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,NueGo,Electric A/C Seater (2+2),24-Jul,15:30,21:00,05h 30m,348,34 Seats available,3.8
8,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,NueGo,Electric A/C Seater (2+2),24-Jul,16:00,21:10,05h 10m,404,24 Seats available,3.5
9,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,NueGo,Electric A/C Seater (2+2),24-Jul,16:30,21:55,05h 25m,348,28 Seats available,3.6
10,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),24-Jul,17:15,23:20,06h 05m,462,30 Seats available,3.4
11,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,NueGo,Electric A/C Seater (2+2),24-Jul,17:30,22:55,05h 25m,348,32 Seats available,4.2
