,route,route-collected,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar?fromCityId=734&toCityId=84913&fromCityName=Jammu%20(j%20and%20k)&toCityName=Srinagar%20(J%20and%20K)&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,New Pal Travels,NON A/C Seater / Sleeper (2+2),24-Jul,21:15,07:15,10h 00m,719,36 Seats available,1.5
1,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar?fromCityId=734&toCityId=84913&fromCityName=Jammu%20(j%20and%20k)&toCityName=Srinagar%20(J%20and%20K)&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),24-Jul,16:30,02:30,10h 00m,INR 699,40 Seats available,1.0
2,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar?fromCityId=734&toCityId=84913&fromCityName=Jammu%20(j%20and%20k)&toCityName=Srinagar%20(J%20and%20K)&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),24-Jul,17:15,03:15,10h 00m,INR 699,40 Seats available,1.0
3,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar?fromCityId=733&toCityId=84913&fromCityName=Delhi&toCityName=Srinagar&busType=Any&onward=23-Jul-2024,DIVA BUS,AC Sleeper (2+1),24-Jul,15:00,08:00,17h 00m,INR 4999,36 Seats available,3.4
4,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu?fromCityId=84913&toCityId=734&fromCityName=Srinagar%20(J%20and%20K)&toCityName=Jammu&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,no-data-found,no-data-found,24-Jul,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
5,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),24-Jul,20:00,08:55,12h 55m,INR 860,7 Seats available,4.3
6,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,City Land Travels,A/C Seater/Sleeper (2+1),24-Jul,20:30,09:00,12h 30m,531,29 Seats available,3.4
7,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Zimindara Travels,AC Sleeper (2+1),24-Jul,15:05,04:35,13h 30m,INR 1099,27 Seats available,4.5
8,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,City Land Travels,A/C Seater/Sleeper (2+1),24-Jul,18:30,06:50,12h 20m,585,16 Seats available,4.8
9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi?fromCityId=734&toCityId=733&fromCityName=Jammu%20(j%20and%20k)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,Gola Bus Service,A/C Seater/Sleeper (2+1),24-Jul,20:20,07:50,11h 30m,INR 399,26 Seats available,4.8
