,route,route-collected,Date,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 555,24 Seats available,4.6
1,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 606,18 Seats available,4.6
2,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,08:35,10h 50m,546,26 Seats available,4.5
3,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,AdIntrCity SmartBus,AC Sleeper (2+1),21:00,07:40,10h 40m,INR 500,22 Seats available,4.1
4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 699,18 Seats available,4.5
5,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:00,11h 30m,INR 760,19 Seats available,4.5
6,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,INR 699,29 Seats available,4.5
7,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,AdIndumati Travels,A/C Sleeper (2+1),22:20,08:30,10h 10m,712,21 Seats available,4.2
8,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,07:00,10h 30m,INR 550,22 Seats available,4.4
9,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 399,39 Seats available,4.4
10,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,INR 399,26 Seats available,4.3
11,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,08:01,09h 56m,INR 700,23 Seats available,4.1
12,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa?fromCityId=130&toCityId=210&fromCityName=Pune&toCityName=Goa&busType=Any&srcCountry=IND&destCountry=IND&onward=23-Jul-2024,24-Jul,IntrCity SmartBus,AC Sleeper (2+1),23:35,09:45,10h 10m,INR 606,26 Seats available,4.1
