,route,route-collected,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 187798,Super Luxury Volvo AC Seater Pushback 2+2,24-Jul,11:55,15:50,03h 55m,INR 460,33 Seats available,4.5
1,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 156405,Express Non AC Seater 2+3,24-Jul,12:00,16:30,04h 30m,INR 229,42 Seats available,4.2
2,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 190537,Express Non AC Seater 2+3,24-Jul,12:30,17:05,04h 35m,INR 229,42 Seats available,4.2
3,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 157455,Super Luxury Volvo AC Seater Pushback 2+2,24-Jul,13:00,17:00,04h 00m,INR 460,32 Seats available,4.3
4,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 190571,Express Non AC Seater 2+3,24-Jul,13:25,18:00,04h 35m,INR 229,42 Seats available,4.2
5,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 188046,Express Non AC Seater 2+3,24-Jul,14:15,19:00,04h 45m,INR 229,42 Seats available,4.2
6,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 167049,Express Non AC Seater 2+3,24-Jul,14:30,19:15,04h 45m,INR 229,42 Seats available,4.2
7,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 146140,Super Luxury Volvo AC Seater Pushback 2+2,24-Jul,14:46,18:48,04h 02m,INR 460,37 Seats available,4.2
8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 169078,NON AC Seater / Sleeper 2+1,24-Jul,15:00,19:30,04h 30m,INR 302,37 Seats available,4.5
9,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=23-Jul-2024,RSRTC - 178737,Express Non AC Seater 2+3,24-Jul,15:30,20:05,04h 35m,INR 229,42 Seats available,4.2
