,route,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 64839,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:30,13:00,04h 30m,INR 320,31 Seats available,3.3
1,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 64362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:30,14:00,04h 30m,INR 320,31 Seats available,3.8
2,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 7648,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:30,14:30,05h 00m,INR 320,33 Seats available,4.2
3,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8978,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:40,13:35,03h 55m,INR 320,26 Seats available,4.4
4,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 64824,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:30,14:50,04h 20m,INR 320,30 Seats available,2.5
5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8968,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:35,15:10,04h 35m,INR 320,28 Seats available,3.3
6,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8726,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:40,15:10,04h 30m,INR 320,31 Seats available,2.1
7,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8847,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,15:30,04h 20m,INR 320,31 Seats available,4.1
8,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:15,15:15,04h 00m,INR 320,31 Seats available,3.7
9,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 34339,RAJDHANI (A.C. Semi Sleeper),11:20,15:30,04h 10m,INR 389,35 Seats available,3.0
10,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8824,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:50,16:30,04h 40m,INR 320,31 Seats available,3.9
11,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8609,RAJDHANI (A.C. Semi Sleeper),12:10,16:10,04h 00m,INR 389,30 Seats available,3.6
12,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8918,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:30,16:50,04h 20m,INR 320,23 Seats available,4.1
13,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8927,LAHARI A/C SLEEPER CUM SEATER,12:30,16:30,04h 00m,INR 389,34 Seats available,3.8
14,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8681,RAJADHANI AC (CONVERTED METRO LUXURY),13:00,17:00,04h 00m,INR 389,33 Seats available,2.9
15,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8617,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:20,17:30,04h 10m,INR 320,28 Seats available,4.9
16,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&onward=22-Jul-2024,TSRTC - 8736,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,17:50,04h 20m,INR 320,31 Seats available,2.3
