,s_no,route,route-collected,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 9887,RAJDHANI (A.C. Semi Sleeper),24-Jul,00:10,06:20,06h 10m,374,33,3.1
1,1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1424,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,00:20,06:10,05h 50m,374,38,3.5
2,2,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:15,09:05,07h 50m,352,33,3.4
3,3,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:15,09:05,07h 50m,352,31,4.3
4,4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41510,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:30,07:10,05h 40m,352,32,3.6
5,5,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:50,08:00,06h 10m,352,27,4.3
6,6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1590,RAJDHANI (A.C. Semi Sleeper),24-Jul,02:00,07:40,05h 40m,374,36,2.7
7,7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30910,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,02:15,07:55,05h 40m,374,36,3.8
8,8,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1571,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,02:40,08:45,06h 05m,354,28,3.6
9,9,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,03:30,09:40,06h 10m,352,31,4.0
10,10,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,04:10,09:10,05h 00m,352,33,4.6
11,11,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 7621,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,04:15,10:00,05h 45m,352,30,4.5
12,12,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 4074,RAJDHANI (A.C. Semi Sleeper),24-Jul,04:20,10:00,05h 40m,374,34,3.9
13,13,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,04:30,10:40,06h 10m,352,32,2.6
14,14,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1887,RAJDHANI (A.C. Semi Sleeper),24-Jul,05:00,09:30,04h 30m,374,35,3.3
15,15,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 43162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,05:10,11:20,06h 10m,352,32,4.0
